alpha_deg,Re,Cl,Cd
-2.0,900000.0,-0.21424,0.005987
-1.5,900000.0,-0.16131,0.005782
-1.0,900000.0,-0.10757,0.005589
-0.5,900000.0,-0.05357,0.005468
0.0,900000.0,-0.0,0.005434
0.5,900000.0,0.05357,0.005468
1.0,900000.0,0.10757,0.005589
1.5,900000.0,0.16131,0.005782
2.0,900000.0,0.21424,0.005987
2.5,900000.0,0.26638,0.006222
3.0,900000.0,0.32018,0.006538
3.5,900000.0,0.37684,0.00698
4.0,900000.0,0.43625,0.007538
4.5,900000.0,0.49912,0.008142
5.0,900000.0,0.56559,0.008758
5.5,900000.0,0.63315,0.00941
6.0,900000.0,0.69818,0.010052
6.5,900000.0,0.75826,0.01063
7.0,900000.0,0.81273,0.011175
7.5,900000.0,0.86247,0.011734
8.0,900000.0,0.90886,0.012339
8.5,900000.0,0.95319,0.013005
9.0,900000.0,0.99641,0.013737
9.5,900000.0,1.03907,0.014533
10.0,900000.0,1.08141,0.015393
10.5,900000.0,1.12338,0.016319
11.0,900000.0,1.16467,0.017317
11.5,900000.0,1.20466,0.018401
12.0,900000.0,1.24229,0.019591
12.5,900000.0,1.27615,0.020923
13.0,900000.0,1.30502,0.022448
13.5,900000.0,1.32847,0.024239
14.0,900000.0,1.34697,0.026398
14.5,900000.0,1.36107,0.029082
15.0,900000.0,1.37073,0.032534
15.5,900000.0,1.37512,0.037113
16.0,900000.0,1.3725,0.043255
-6.0,1500000.0,-0.66753,0.008735
-5.5,1500000.0,-0.60539,0.008223
-5.0,1500000.0,-0.54587,0.007697
-4.5,1500000.0,-0.48838,0.007204
-4.0,1500000.0,-0.43288,0.006762
-3.5,1500000.0,-0.37953,0.006361
-3.0,1500000.0,-0.32693,0.006024
-2.5,1500000.0,-0.27321,0.00578
-2.0,1500000.0,-0.21825,0.005606
-1.5,1500000.0,-0.16332,0.005472
-1.0,1500000.0,-0.10885,0.005354
-0.5,1500000.0,-0.05456,0.005243
0.0,1500000.0,-0.0,0.005191
0.5,1500000.0,0.05456,0.005243
1.0,1500000.0,0.10885,0.005354
1.5,1500000.0,0.16332,0.005472
2.0,1500000.0,0.21825,0.005606
2.5,1500000.0,0.27321,0.00578
3.0,1500000.0,0.32693,0.006024
3.5,1500000.0,0.37953,0.006361
4.0,1500000.0,0.43288,0.006762
4.5,1500000.0,0.48838,0.007204
5.0,1500000.0,0.54587,0.007697
5.5,1500000.0,0.60539,0.008223
6.0,1500000.0,0.66753,0.008735
6.5,1500000.0,0.73151,0.009236
7.0,1500000.0,0.79488,0.009745
7.5,1500000.0,0.85496,0.01027
8.0,1500000.0,0.91043,0.010818
8.5,1500000.0,0.96161,0.011392
9.0,1500000.0,1.00967,0.012
9.5,1500000.0,1.05579,0.012645
10.0,1500000.0,1.10076,0.013329
10.5,1500000.0,1.14501,0.014057
11.0,1500000.0,1.18877,0.014832
11.5,1500000.0,1.23202,0.015659
12.0,1500000.0,1.27453,0.016548
12.5,1500000.0,1.31572,0.017509
13.0,1500000.0,1.35462,0.018562
13.5,1500000.0,1.38998,0.019742
14.0,1500000.0,1.42081,0.021097
14.5,1500000.0,1.44682,0.022697
15.0,1500000.0,1.46823,0.024636
15.5,1500000.0,1.4851,0.027057
16.0,1500000.0,1.49718,0.030182
